Artist,Title,Air Time_x,Play,Year,Letter_x,First Word,Duration_x,Air Time_y,Letter_y,Duration_y
Joni Mitchell,A Case Of You,2017-11-29 06:03:00,0,1971,A,A,4,2016-11-30 06:10:00,A,6
Todd Rundgren,A Dream Goes On Forever,2017-11-29 06:13:00,0,1974,A,A,3,2016-11-30 06:40:00,A,3
Poco,A Good Feelin' To Know,2017-11-29 06:23:00,0,1972,A,A,3,2016-11-30 06:52:00,A,4
Neil Young,A Man Needs A Maid,2017-11-29 06:29:00,0,1972,A,A,4,2016-11-30 07:33:00,A,5
Lou Rawls,A Natural Man,2017-11-29 06:33:00,0,1971,A,A,3,2016-11-30 07:47:00,A,4
Procol Harum,A Salty Dog,2017-11-29 07:13:00,0,0,A,A,5,2016-11-30 07:55:00,A,5
Leon Russell,A Song For You,2017-11-29 07:37:00,0,1970,A,A,6,2016-11-30 08:11:00,A,5
Genesis,A Trick Of The Tail,2017-11-29 07:43:00,0,1976,A,A,4,2016-11-30 08:26:00,A,5
Jackson 5,ABC,2017-11-29 07:57:00,0,1970,A,ABC,4,2016-11-30 06:01:00,A,3
The Band,Acadian Driftwood,2017-11-29 08:04:00,0,1975,A,Acadian,8,2016-11-30 09:00:00,A,7
Warren Zevon,Accidently Like A Martyr,2017-11-29 08:12:00,0,1978,A,Accidently,4,2016-11-30 09:12:00,A,3
Elvis Costello,Accidents Will Happen,2017-11-29 08:16:00,0,1979,A,Accidents,6,2016-11-30 09:15:00,A,3
Bobby Womack,Across 110th Street,2017-11-29 08:42:00,0,1973,A,Across,4,2016-11-30 09:18:00,A,4
The Beatles,Across The Universe,2017-11-29 08:53:00,0,1970,A,Across,3,2016-11-30 09:26:00,A,4
Bruce Springsteen,Adam Raised A Cain,2017-11-29 08:56:00,0,1978,A,Adam,5,2016-11-30 09:33:00,A,5
Eric Clapton,After Midnight,2017-11-29 09:29:00,0,1970,A,After,3,2016-11-30 09:46:00,A,3
J. J. Cale,After Midnight,2017-11-29 09:32:00,0,1972,A,After,2,2016-11-30 09:49:00,A,3
Neil Young,After The Goldrush,2017-11-29 09:34:00,0,1970,A,After,4,2016-11-30 09:56:00,A,5
Taj Mahal,Ain't Gwine Whistle Dixie,2017-11-29 09:52:00,0,1971,A,Ain't,9,2016-11-30 10:21:00,A,8
"Bobby ""Blue"" Bland",Ain't No Love In The Heart Of The City,2017-11-29 10:16:00,0,1974,A,Ain't,4,2016-11-30 10:45:00,A,4
McFadden & Whitehead,Ain't No Stoppin' Us Now,2017-11-29 10:23:00,0,1979,A,Ain't,6,2016-11-30 10:57:00,A,4
Bill Withers,Ain't No Sunshine,2017-11-29 10:29:00,0,1971,A,Ain't,2,2016-11-30 11:01:00,A,2
Four Tops,Ain't No Woman (Like The One I've Got),2017-11-29 10:31:00,0,1973,A,Ain't,3,2016-11-30 11:03:00,A,4
The J. Geils Band,Ain't Nothin' But A Houseparty,2017-11-29 10:38:00,0,1973,A,Ain't,5,2016-11-30 11:07:00,A,5
The Rolling Stones,Ain't Too Proud To Beg,2017-11-29 11:00:00,0,1974,A,Ain't,3,2016-11-30 11:24:00,A,4
The Allman Brothers,Ain't Wastin' Time No More,2017-11-29 11:11:00,0,1972,A,Ain't,3,2016-11-30 11:30:00,A,5
Steely Dan,Aja,2017-11-29 11:29:00,0,1977,A,Aja,8,2016-11-30 11:35:00,A,8
Neil Young,Alabama,2017-11-29 11:37:00,0,1972,A,Alabama,6,2016-11-30 11:43:00,A,4
David Bowie,Aladdin Sane,2017-11-29 11:43:00,0,1973,A,Aladdin,5,2016-11-30 11:51:00,A,5
Neil Young,Albuquerque,2017-11-29 11:48:00,0,1975,A,Albuquerque,6,2016-11-30 12:00:00,A,4
Elvis Costello,Alison,2017-11-29 11:57:00,0,1977,A,Alison,4,2016-11-30 12:14:00,A,3
Steeleye Span,Alison Gross,2017-11-29 12:01:00,0,1973,A,Alison,5,2016-11-30 12:17:00,A,6
War,All Day Music,2017-11-29 12:18:00,0,1971,A,All,4,2016-11-30 13:03:00,A,6
The Rolling Stones,All Down The Line,2017-11-29 12:22:00,0,1972,A,All,5,2016-11-30 13:09:00,A,4
Joni Mitchell,All I Want,2017-11-29 12:37:00,0,1971,A,All,5,2016-11-30 13:53:00,A,4
The Cars,All Mixed Up,2017-11-29 12:51:00,0,1978,A,All,6,2016-11-30 14:01:00,A,4
Led Zeppelin,All My Love,2017-11-29 13:00:00,0,1979,A,All,5,2016-11-30 14:05:00,A,6
Free,All Right Now,2017-11-29 13:12:00,0,1970,A,All,5,2016-11-30 14:15:00,A,6
Todd Rundgren,All The Children Sing,2017-11-29 13:21:00,0,1978,A,All,4,2016-11-30 14:29:00,A,3
Mott The Hoople,All The Way From Memphis,2017-11-29 13:31:00,0,1973,A,All,4,2016-11-30 14:42:00,A,5
Mott The Hoople,All The Young Dudes,2017-11-29 13:42:00,0,1972,A,All,3,2016-11-30 14:52:00,A,4
George Harrison,All Things Must Pass,2017-11-29 13:45:00,0,1970,A,All,4,2016-11-30 14:56:00,A,4
Crosby Stills Nash & Young,Almost Cut My Hair,2017-11-29 14:04:00,0,1970,A,Almost,5,2016-11-30 15:24:00,A,4
The Eagles,Already Gone,2017-11-29 14:18:00,0,1974,A,Already,4,2016-11-30 15:43:00,A,4
Tom Petty & The Heartbreakers,American Girl,2017-11-29 14:54:00,0,1976,A,American,4,2016-11-30 16:14:00,A,3
Elton John,Amoreena,2017-11-29 15:27:00,0,1971,A,Amoreena,5,2016-11-30 16:33:00,A,6
Van Morrison,And It Stoned Me,2017-11-29 15:44:00,0,1970,A,And,6,2016-11-30 17:06:00,A,7
Yes,And You And I,2017-11-29 15:50:00,0,1972,A,And,10,2016-11-30 17:21:00,A,13
Jimi Hendrix,Angel,2017-11-29 16:16:00,0,1971,A,Angel,4,2016-11-30 17:39:00,A,4
Bonnie Raitt,Angel From Montgomery,2017-11-29 16:29:00,0,1974,A,Angel,4,2016-11-30 17:53:00,A,4
John Prine,Angel From Montgomery,2017-11-29 16:33:00,0,1971,A,Angel,3,2016-11-30 17:57:00,A,4
The Rolling Stones,Angie,2017-11-29 16:44:00,0,1973,A,Angie,5,2016-11-30 18:05:00,A,7
Loggins & Messina,Angry Eyes,2017-11-29 16:54:00,0,1972,A,Angry,8,2016-11-30 18:12:00,A,7
Spirit,Animal Zoo,2017-11-29 17:02:00,0,1970,A,Animal,3,2016-11-30 18:23:00,A,5
Pink Floyd,Another Brick In The Wall (Part 2),2017-11-29 17:08:00,0,1979,A,Another,4,2016-11-30 18:45:00,A,4
Paul McCartney & Wings,Another Day,2017-11-29 17:12:00,0,1971,A,Another,6,2016-11-30 18:49:00,A,5
The Only Ones,"Another Girl, Another Planet",2017-11-29 17:18:00,0,1978,A,Another,3,2016-11-30 18:54:00,A,3
The Doobie Brothers,"Another Park, Another Sunday",2017-11-29 17:21:00,0,1974,A,Another,5,2016-11-30 19:01:00,A,4
Stevie Wonder,Another Star,2017-11-29 17:26:00,0,1976,A,Another,8,2016-11-30 19:10:00,A,9
Steely Dan,Any Major Dude Will Tell You,2017-11-29 17:50:00,0,1974,A,Any,7,2016-11-30 19:43:00,A,3
Greg Kihn,Any Other Woman,2017-11-29 18:01:00,0,1976,A,Any,4,2016-11-30 19:46:00,A,4
Frank Zappa,Apostrophe,2017-11-29 18:33:00,0,1974,A,Apostrophe,6,2016-11-30 20:16:00,A,6
George Harrison,Apple Scruffs,2017-11-29 18:39:00,0,1970,A,Apple,4,2016-11-30 20:22:00,A,4
Gary Numan & Tubeway Army,Are Friends Electric?,2017-11-29 18:54:00,0,1979,A,Are,6,2016-11-30 20:49:00,A,6
Pacific Gas & Electric,Are You Ready?,2017-11-29 19:06:00,0,1970,A,Are,6,2016-11-30 21:06:00,A,7
Neil Young,Are You Ready For The Country?,2017-11-29 19:12:00,0,1972,A,Are,5,2016-11-30 21:03:00,A,3
10cc,Art For Art's Sake,2017-11-29 19:30:00,0,1976,A,Art,6,2016-11-30 21:29:00,A,8
Stevie Wonder,As,2017-11-29 19:40:00,0,1976,A,As,7,2016-11-30 21:37:00,A,7
Patti Smith,Ask The Angels,2017-11-29 19:47:00,0,1976,A,Ask,5,2016-11-30 21:50:00,A,3
Andy Pratt,Avenging Annie,2017-11-29 21:00:00,0,1973,A,Avenging,8,2016-11-30 22:55:00,A,5
The Who,Baba O'Riley,2017-11-29 21:20:00,0,1971,B,Baba,5,2016-11-30 23:00:00,B,5
Badfinger,Baby Blue,2017-11-29 21:31:00,0,1971,B,Baby,3,2016-11-30 23:18:00,B,4
T Rex,Baby Boomerang,2017-11-29 21:34:00,0,1972,B,Baby,3,2016-11-30 23:22:00,B,2
Syd Barrett,Baby Lemonade,2017-11-29 22:00:00,0,1970,B,Baby,4,2016-11-30 23:51:00,B,4
The Heptones,"Baby, I Need Your Loving",2017-11-29 22:16:00,0,1976,B,Baby,6,2016-12-01 00:21:00,B,4
MC5,Back In The USA,2017-11-29 22:51:00,0,1970,B,Back,3,2016-12-01 01:02:00,B,3
Nils Lofgren,Back It Up,2017-11-29 22:54:00,0,1975,B,Back,3,2016-12-01 01:08:00,B,3
Ringo Starr,Back Off Boogaloo,2017-11-29 23:03:00,0,1972,B,Back,3,2016-12-01 01:11:00,B,3
The O'Jays,Back Stabbers,2017-11-29 23:06:00,0,1972,B,Back,5,2016-12-01 01:20:00,B,3
Bruce Springsteen,Backstreets,2017-11-29 23:25:00,0,1975,B,Backstreets,6,2016-12-01 01:31:00,B,7
Faces,Bad 'N' Ruin,2017-11-29 23:31:00,0,1971,B,Bad,7,2016-12-01 02:24:00,B,5
Harold Melvin & The Bluenotes,Bad Luck,2017-11-30 00:00:00,0,1975,B,Bad,6,2016-12-01 01:56:00,B,6
Steely Dan,Bad Sneakers,2017-11-30 00:14:00,0,1975,B,Bad,4,2016-12-01 02:36:00,B,4
Bruce Springsteen,Badlands,2017-11-30 00:24:00,0,1978,B,Badlands,4,2016-12-01 02:50:00,B,5
The Temptations,Ball Of Confusion,2017-11-30 00:34:00,0,1971,B,Ball,5,2016-12-01 03:15:00,B,5
Elton John,Ballad Of A Well-Known Gun,2017-11-30 00:39:00,0,1971,B,Ballad,5,2016-12-01 03:26:00,B,5
Randy Newman,Baltimore,2017-11-30 00:52:00,0,1977,B,Baltimore,4,2016-12-01 03:33:00,B,4
Paul McCartney & Wings,Band On The Run,2017-11-30 01:02:00,0,1973,B,Band,6,2016-12-01 03:37:00,B,6
